objectid,joinid,permyear,county,jurisdictn,apn,address,zip,projname,hcategory,vlowdr,vlowndr,vlowtot,lowdr,lowndr,lowtot,moddr,modndr,modtot,amodtot,totalunit,tenure,mapped,mapnotes,pda,pdacycle,pdajoinid,tpa,tpacycle,hsngsite,rhnacycle,notes,ObjectId2
,657c5d5a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8544 Bayshores Avenue,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,63
,657c5fbc-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8538 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,64
,657c6200-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8530 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,65
,657ce50e-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,38986 Primula Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,66
,6d97ce22-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,2855 RANDALL LOOP,94568,HILLCREST @ IRONGATE,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,DUB3,N,,N,,NULL,67
,319da322-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,052 158200500,2152 RUSSELL St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,68
,54bdd0de-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,36170 Forestwood Dr,94560,Classic Communities,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,69
,6d977a8a-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7055 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,70
,319de9ae-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,053 161901200,1421 ASHBY Ave,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,N,,NULL,71
,54be2d0e-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37889 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,72
,6d977c6a-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7051 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,73
,54be2e3a-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37901 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,74
,319ded82-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,052 143500600,1626 SIXTY-SECOND St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,75
,6d977e4a-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7038 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,76
,54be2f52-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,37931 Harbor Light Road,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,77
,657ce734-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,38969 Primula Terrace,94560,"D.R. Horton Bay, Inc",5+,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,78
,319deef4-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,054 178500500,1133 CARLETON St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,79
,6d978098-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,7052 KYLEMORE CIR,94568,ENCLAVE @ TASSAJARA HIGHLANDS,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,80
,54bdd200-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,36150 Forestwood Dr,94560,Classic Communities,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,N,,Y,2015-2023,NULL,81
,319da4f8-74e4-11e8-adc0-fa7ae01bbebc,2017,6001,Berkeley,059 228403900,1517 HOLLY St,NULL,NULL,SU,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,N,,,Y,2017,N,,NULL,82
,6d97d00c-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,2851 RANDALL LOOP,94568,HILLCREST @ IRONGATE,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,DUB3,N,,N,,NULL,83
,657c6444-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8529 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,84
,6d97d4bc-726c-11e8-adc0-fa7ae01bbebc,2017,6001,Dublin,NULL,4201 MIDLANDS CT,94568,HILLCREST @ IRONGATE,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,DUB3,N,,N,,NULL,85
,657c66d8-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8521 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,86
,657c6d2c-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8546 Bayshores Avenue,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,Mapped by hand,Y,2017,NEW1,N,,Y,2015-2023,NULL,87
,657c6fac-8ecf-11e8-9eb6-529269fb1459,2017,6001,Newark,NULL,8532 Jetty Way,94560,WILLIAM LYON HOMES INC,SF,0,0,0,0,0,0,0,0,0,1,1,NULL,Y,NULL,Y,2017,NEW1,N,,Y,2015-2023,NULL,88
