Jurisdiction Name,Site Address/Intersection,5 Digit ZIP Code,Assessor Parcel Number,Consolidated Sites,General Plan Designation (Current),Zoning Designation (Current),Minimum Density Allowed (units/acre),Max Density Allowed (units/acre),Parcel Size (Acres),Existing Use/Vacancy,Infrastructure,Publicly-Owned,Site Status,Identified in Last/Last Two Planning Cycle(s),Lower Income Capacity,Moderate Income Capacity,Above Moderate Income Capacity,Total Capacity,Optional Information 1,Optional Information 2,Optional Information 3,
MOUNTAIN VIEW,2116 W EL CAMINO REAL,94040-1612,14836028,B,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,1.00,"one-story vacant, single tenant retail  - FAR: 0.17; Year Built: 1995;  chain link fence surrounds the parcels at 2116 and 2100 W El Camino Real; 2116, 2100, and 2124 W El Camino Real are under the same ownership",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,60,0,0,60,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,2100 W EL CAMINO REAL,94040-1612,14836029,B,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.52,"one-story vacant, single tenant retail  - FAR: 0.176; Year Built: 1960;  chain link fence surrounds the parcels at 2116 and 2100 W El Camino Real; 2116, 2100, and 2124 W El Camino Real are under the same ownership",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,31,0,0,31,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,400 A MOFFETT BL,94043,15324016,Not Applicable,Mixed-Use Corridor,CN,0,~72,1.64,"one-story 4-unit commercial (beauty, cleaners, mini-mart, gun shop)  - FAR: 0.196; Year Built: 1969",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,82,0,0,82,Opportunity Site - General Plan Village Center,,Rezoned to allow residential at approximately ~72 DU/ac. Rezoning not necessary to meet RHNA.,
MOUNTAIN VIEW,1398 W EL CAMINO REAL,94040-2404,15430015,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,41-50,0.53,"one-story six-unit commercial (beauty, computer service, vaping, fitness) - FAR: 0.282; Year Built: 1975",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,20,0,20,Opportunity Site ,Maximum Density set by FAR (1.35). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1288 W EL CAMINO REAL,94040-2402,15430044,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.96,gas station  - FAR: 0.059; Year Built: 1972,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,58,0,0,58,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1905 LATHAM ST,94040-2107,15436007,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.74,"one-story retail (convenance, laundromat, restaurants) - FAR: 0.266; Year Built: 1964",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,44,0,44,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1962 W EL CAMINO REAL,94040-2002,15436012,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.80,one-story single tenant restaurant - FAR: 0.123; Year Built: 1971,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,48,0,48,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
MOUNTAIN VIEW,1952 W EL CAMINO REAL ,94040-2002,15436014,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,1.03,one-story party supply store; property owner is marketing the site  - FAR: 0.444; Year Built: 1959,Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,61,0,0,61,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,1910 W EL CAMINO REAL,94040-2002,15436018,Not Applicable,Mixed-Use Corridor (ECR Village Center),P(38) - El Camino Real Precise Plan,0,47-93,2.47,"one-story six-unit retail (furniture, restaurants, fitness) with tenant vacancy - FAR: 0.318; Year Built: 1984",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,30,0,30,Opportunity Site - El Camino Real,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,"Rezoned to 2.3 FAR, allowing approximately 65-111 DU/ac. Rezoning not necessary to meet RHNA.",
MOUNTAIN VIEW,2080 W EL CAMINO REAL,94040-2104,15437006,Not Applicable,Mixed-Use Corridor,P(38) - El Camino Real Precise Plan,0,65-111,0.45,"single tenant, self car wash  - FAR: 0.149; Year Built: 1968",Yes - current,No - Privately-Owned,Available,Not Used in Prior Housing Element,0,27,0,27,Opportunity Site ,Maximum Density set by FAR (1.85). Maximum dwelling units per acre shown is based on the range of precedent projects.,,
